,relation,dyad,subject,stimulus,pleasantness,happiness,embarassment
0,U,U01,F,1,5,2,6
1,U,U01,F,2,4,5,2
2,U,U01,F,3,3,6,1
3,U,U01,F,4,6,1,1
4,U,U01,F,5,6,1,3
5,U,U01,F,6,2,3,1
6,U,U01,M,1,5,2,7
7,U,U01,M,2,2,6,1
8,U,U01,M,3,1,7,1
9,U,U01,M,4,5,1,1
10,U,U01,M,5,6,1,2
11,U,U01,M,6,7,1,1
12,U,U02,M,1,6,2,5
13,U,U02,M,2,5,2,2
14,U,U02,M,3,4,3,3
15,U,U02,M,4,6,1,1
16,U,U02,M,5,5,2,2
17,U,U02,M,6,4,2,1
18,U,U02,F,1,5,1,2
19,U,U02,F,2,6,1,1
20,U,U02,F,3,3,3,1
21,U,U02,F,4,7,1,1
22,U,U02,F,5,4,1,1
23,U,U02,F,6,3,1,1
24,U,U03,M,1,7,1,2
25,U,U03,M,2,5,4,7
26,U,U03,M,3,4,1,7
27,U,U03,M,4,6,4,7
28,U,U03,M,5,5,7,7
29,U,U03,M,6,7,7,7
30,U,U03,F,1,7,7,6
31,U,U03,F,2,2,3,6
32,U,U03,F,3,1,1,7
33,U,U03,F,4,7,4,7
34,U,U03,F,5,7,7,7
35,U,U03,F,6,7,7,7
36,U,U04,M,1,6,6,5
37,U,U04,M,2,4,4,7
38,U,U04,M,3,5,3,7
39,U,U04,M,4,6,5,7
40,U,U04,M,5,7,7,7
41,U,U04,M,6,7,7,7
42,U,U04,F,1,7,7,4
43,U,U04,F,2,4,4,4
44,U,U04,F,3,1,1,1
45,U,U04,F,4,5,4,4
46,U,U04,F,5,7,7,4
47,U,U04,F,6,7,7,1
48,U,U05,M,1,7,7,3
49,U,U05,M,2,5,2,4
50,U,U05,M,3,6,5,4
51,U,U05,M,4,5,5,4
52,U,U05,M,5,4,5,4
53,U,U05,M,6,1,4,4
54,U,U05,F,1,4,5,3
55,U,U05,F,2,2,3,7
56,U,U05,F,3,2,1,7
57,U,U05,F,4,7,7,7
58,U,U05,F,5,6,7,7
59,U,U05,F,6,6,6,6
60,U,U06,F,1,5,1,3
