relation,relation_label,video,video_emotion,IBI_mean_cop,IBI_N,EDA_mean_cop,EDA_N,EMG_mean_cop,EMG_N
U,Strangers,HS,EMBRS,0.0006695315340780737,19,0.0012333691098893682,19,0.002060168856211368,19
U,Strangers,TIT,SAD,0.0006781892648538316,19,0.001169333946493979,19,0.002032186271053811,19
U,Strangers,WD,FEAR,0.000663778878071937,19,0.0012342959651733948,19,0.0019536382435800838,19
U,Strangers,RELAX,CALMNESS,0.0005856526389686895,19,0.0013493721556269525,19,0.001988512588285147,19
U,Strangers,NH,LOVE,0.000654112884796121,19,0.0010982308786960683,19,0.0019522355254062893,19
U,Strangers,PEN,PRIDE,0.0006725261634456421,19,0.0009036804904635735,19,0.001994374142801168,19
F,Friends,HS,EMBRS,0.0007759229937210479,23,0.0014019068495206525,23,0.001978706399037952,23
F,Friends,TIT,SAD,0.0006200456160323043,23,0.0011174659101691085,23,0.0020048564228933303,23
F,Friends,WD,FEAR,0.000658822332408574,23,0.0010252748722930217,23,0.0020568526023349042,23
F,Friends,RELAX,CALMNESS,0.0006696983898980434,23,0.001247201891370091,23,0.0020063074693942393,23
F,Friends,NH,LOVE,0.0006187345676571434,23,0.0008997254533197261,23,0.002083575678768456,23
F,Friends,PEN,PRIDE,0.0006430376919181695,23,0.0010008162953352305,23,0.0020096584839776523,23
L,Lovers,HS,EMBRS,0.0007041706223250842,19,0.0012243603133468737,19,0.0020699955099847895,19
L,Lovers,TIT,SAD,0.0006725088099305632,19,0.0011801769608325789,19,0.0020313761820009105,19
L,Lovers,WD,FEAR,0.0006006465454820948,19,0.0008968413372033106,19,0.001954661755304905,19
L,Lovers,RELAX,CALMNESS,0.0005854961104748421,19,0.0011110567803360263,19,0.002051932758833642,19
L,Lovers,NH,LOVE,0.0006228733376549264,19,0.0010335881000506156,19,0.0020134229169922473,19
L,Lovers,PEN,PRIDE,0.0006594007592614212,19,0.0008070459917738105,19,0.0020244495033070946,19
